ACCOUNT NUMBER,C/R NOV,C/R DEC
37601000010,366,375
37601000080,31,32
37601001010,12,12
37601001410,84,120
37601001420,429,429
37601001430,375,381
37601001460,608,609
37601001480,1,2
37601001510,1299,1299
37601001560,2687,2687
37601001570,57,97
37601001590,182,187
37601001600,899,919
37601001610,20,29
37601001850,770,770
37601001880,17,17
37601001900,429,442
37601001920,724,740
37601001930,18,18
37601002010,837,837
37601002020,327,341
37601002030,713,713
37601002040,316,326
37601002070,283,292
37601002075,11,15
37601002080,11,11
37601002090,25,29
37601002122,172,179
37601002130,12,20
37601002160,596,602
37601002180,213,221
37601002190,177,177
37601002200,463,463
37601002210,730,767
37601002240,7,8
37601002250,23,32
37601002260,11,11
37601002270,8,10
37601002280,11,13
37601002285,11,28
37601002290,15,16
37601002300,176,182
37601002310,13,14
37601002320,0,1
37601002330,723,725
37601002340,14,22
37601002610,1101,1122
37601002650,314,318
37601002660,876,876
37601002680,1163,1187
37601003000,1761,1765
37601003010,229,229
37601003101,588,597
37601003300,502,511
37601003500,1014,1073
37601003510,683,693
37601003540,709,719
37601003700,310,310
37601003750,684,688
37601004500,343,349
37601005000,512,531
37601005010,252,252
37601005020,119,119
37601005030,1098,1099
37601005060,244,244
37601005080,439,442
37601005100,2430,2442
37601005110,196,202
37601005150,146,148
37601005810,99,99
37601005820,3,3
37601005840,111,115
37601005880,150,150
37601005900,96,96
37601005910,3068,3068
37601005920,89,90
37601005930,235,242
37601005940,6,6
37601006000,212,212
37601006010,99,108
37601006020,,
37601006110,52,52
37601006400,216,223
37601006450,759,770
37601006500,509,514
37601006600,61,79
37601006651,8,15
37601006660,188,188
37601006670,1088,1106
37601006690,489,511
37601006700,1974,1987
37601006720,468,474
37601006730,1398,1411
37601006770,196,1200
37601006780,90,97
37601006790,799,817
37601006800,1199,1199
37601006820,260,281
37601006865,572,572
37601006870,1152,1161
37601006880,57,59
37601006890,532,539
37601007000,320,320
37601007110,3,3
37601007300,1853,1859
37601007400,939,946
37601007430,828,840
37601007450,1368,1381
37601007480,36,47
37601007500,430,434
37601007640,498,502
37601007645,229,229
37601007650,159,168
37601007700,789,789
37601007710,5,5
37601009000,2125,2125
37601009160,224,233
37601009170,517,517
37601009180,59,59
37601009220,346,348
37601009255,328,328
37601009270,1187,1193
37601009300,887,887
37601009350,1036,1036
37601009360,652,656
37601009370,1320,1330
37601009390,631,631
37601009400,1911,1932
37601009410,180,190
37601009415,412,412
37601009420,851,856
37601009460,191,198
37601009465,440,446
37601009490,101,105
37601009500,557,573
37601009510,667,672
37601009520,55,59
37601009540,502,502
37601009550,875,875
37601009570,233,233
37601009590,922,922
37601009610,687,697
37601009620,175,175
37601009670,1009,1014
37601009688,167,172
37601009680,642,646
37601009690,688,693
37601009695,516,516
37601009700,581,587
37601010400,1315,1321
37601010480,840,840
37601010500,213,217
37601010540,671,679
37601010570,410,415
37601010600,175,175
37601010610,784,789
37601010625,1281,1281
37601010645,151,154
37601010660,1241,1241
37601010665,1641,1641
37601010700,1672,1672
37601010750,778,778
37601010770,1484,1498
37601010800,610,614
37601010810,419,429
37601010820,255,255
37601010855,233,239
