ACCOUNT,P/R JAN,C/R FEB
37601000010,382,390
37601000080,30,30
37601001010,12,12
37601001420,429,429
37601001410,159,198
37601001430,385,393
37601001480,2,3
37601001460,609,612
37601001600,941,964
37601001510,1299,1299
37601001560,2687,2687
37601001570,125,146
37601001590,190,194
37601001610,36,43
37601001850,770,770
37601001880,17,17
37601001900,453,463
37601001930,21,37
37601002010,837,837
37601002020,350,359
37601002030,713,713
37601002040,334,343
37601002070,298,304
37601002075,20,32
37601002080,15,17
37601002090,33,39
37601002122,188,197
37601002130,27,34
37601002160,605,607
37601002180,224,231
37601002190,177,177
37601002210,773,777
37601002240,8,8
37601002280,17,19
37601002260,12,15
37601002270,12,15
37601002290,17,19
37601002285,36,44
37601002300,184,199
37601002310,17,21
37601002320,5,11
37601002330,729,733
37601002340,27,35
37601002610,1143,1166
37601002650,321,324
37601002660,876,876
37601002680,1206,1224
37601003000,1769,1772
37601003010,229,229
37601003101,605,614
37601003300,526,543
37601003500,1170,1178
37601003510,702,710
37601003540,730,743
37601003700,310,310
37601003750,692,696
37601004500,355,363
37601005000,548,567
37601005030,1099,1099
37601005010,252,252
37601005080,444,446
37601005100,2454,2455
37601005110,208,215
37601005150,154,162
37601005810,99,99
37601005820,3,3
37601005840,120,115
37601005880,150,150
37601005910,3068,3068
37601005900,96,96
37601005920,92,96
37601006010,117,124
37601006000,212,212
37601006110,52,52
37601006400,228,233
37601006450,781,790
37601006500,520,526
37601006600,95,113
37601006651,22,30
37601006670,1125,1143
37601006690,534,551
37601006700,2001,2019
37601006720,483,491
37601006730,1425,1440
37601006770,1211,1222
37601006780,101,111
37601006790,831,841
37601006800,1199,1199
37601006820,293,303
37601006865,572,572
37601006870,1172,1182
37601006880,59,60
37601006890,545,558
37601007300,1866,1873
37601007400,952,957
37601007430,858,872
37601007450,1389,1400
37601007500,438,442
37601007640,506,510
37601007645,304,299
37601007650,171,171
37601007700,789,789
37601007710,5,5
37601009000,2125,2125
37601009160,243,253
37601009180,59,59
37601009170,517,517
37601009220,348,348
37601009255,328,328
37601009270,1203,1212
37601009300,887,887
37601009350,16,24
37601009360,665,669
37601009370,1336,1345
37601009390,631,631
37601009400,1953,1968
37601009410,201,212
37601009415,412,412
37601009420,856,856
37601009460,203,210
37601009465,452,453
37601009490,111,115
37601009500,595,615
37601009520,63,64
37601009510,677,679
37601009540,502,502
37601009550,875,875
37601009570,233,233
37601009590,2922,2922
37601009610,713,728
37601009620,176,180
37601009670,1021,1029
37601009688,179,185
37601009680,650,656
37601009690,697,700
37601009695,516,516
37601009700,594,600
37601010400,1335,1349
37601010480,840,840
37601010500,221,226
37601010540,689,702
37601010570,422,428
37601010600,175,175
37601010610,793,799
37601010615,3181,3181
37601010625,1282,1282
37601010645,160,169
37601010660,1241,1241
37601010665,1641,1641
37601010700,1678,1678
37601010750,778,778
37601010770,1513,1525
37601010800,617,626
37601010810,436,445
37601010820,255,255
37601010855,244,250
