ACCOUNT,C/R APR,MAY
37601000010,400,410
37601000080,30,30
37601001010,12,12
37601001420,429,429
37601001410,277,311
37601001430,404,412
37601001480,3,4
37601001460,617,620
37601001600,1028,1063
37601001510,1299,1299
37601001560,2687,2687
37601001570,196,219
37601001590,204,207
37601001610,59,69
37601001850,770,770
37601001880,17,17
37601001900,487,498
37601001930,70,93
37601002010,837,837
37601002020,380,391
37601002030,713,713
37601002040,367,377
37601002070,324,333
37601002075,50,54
37601002080,25,25
37601002090,53,64
37601002122,225,238
37601002130,52,59
37601002160,626,632
37601002180,245,255
37601002190,177,177
37601002210,789,801
37601002240,10,11
37601002280,27,31
37601002260,18,21
37601002270,21,26
37601002290,24,27
37601002285,74,104
37601002300,213,214
37601002310,29,34
37601002320,20,26
37601002330,741,748
37601002340,48,60
37601002610,1217,1248
37601002650,331,334
37601002660,876,876
37601002680,1276,1303
37601003000,1781,1789
37601003010,229,229
37601003101,629,638
37601003300,574,586
37601003500,1193,1203
37601003510,728,738
37601003540,766,777
37601003700,310,310
37601003750,704,708
37601004500,381,388
37601005000,612,634
37601005030,1099,1099
37601005010,252,252
37601005080,451,453
37601005100,2492,2507
37601005110,223,226
37601005150,172,177
37601005810,99,99
37601005820,3,3
37601005840,140,145
37601005880,150,150
37601005910,3068,3068
37601005900,96,96
37601005920,104,108
37601006010,142,151
37601006000,212,212
37601006110,52,52
37601006400,249,260
37601006450,800,809
37601006500,538,544
37601006600,155,177
37601006651,40,40
37601006670,1180,1201
37601006690,589,602
37601006700,2058,2075
37601006720,507,513
37601006730,1476,1494
37601006770,1243,1258
37601006780,130,139
37601006790,853,866
37601006800,1199,1199
37601006820,330,342
37601006865,572,572
37601006870,1201,1214
37601006880,61,61
37601006890,566,572
37601007300,1890,1905
37601007400,970,980
37601007430,909,925
37601007450,1425,1444
37601007500,451,454
37601007640,519,524
37601007645,299,299
37601007650,190,198
37601007700,789,789
37601007710,5,5
37601009000,2125,2125
37601009160,276,287
37601009180,59,59
37601009170,528,532
37601009220,348,348
37601009255,328,328
37601009270,1235,1249
37601009300,887,887
37601009350,42,52
37601009360,677,677
37601009370,1362,1372
37601009390,631,631
37601009400,1994,2000
37601009410,238,252
37601009415,412,412
37601009420,856,856
37601009460,224,229
37601009465,463,465
37601009490,124,129
37601009500,665,687
37601009520,79,84
37601009510,688,692
37601009540,502,502
37601009550,875,875
37601009570,233,233
37601009590,2922,2922
37601009610,748,760
37601009620,183,184
37601009670,1040,1040
37601009688,202,213
37601009680,669,679
37601009690,710,716
37601009695,516,516
37601009700,610,611
37601010400,1372,1378
37601010480,840,840
37601010500,239,246
37601010540,732,747
37601010570,444,452
37601010600,178,178
37601010610,816,825
37601010615,3181,3181
37601010625,1282,
37601010645,193,211
37601010660,1241,1241
37601010665,1641,1641
37601010700,1682,1682
37601010750,778,778
37601010770,1569,1582
37601010800,646,656
37601010810,466,478
37601010820,255,255
37601010855,261,268
